iter	RMSE
0	1.152229803
1	1.145102264
2	1.138094913
3	1.131113834
4	1.124193299
5	1.117372864
6	1.110574111
7	1.103890489
8	1.097403278
9	1.090979912
10	1.084519047
11	1.078384288
12	1.072259967
13	1.066263577
14	1.060134375
15	1.054065336
16	1.04807663
17	1.042250122
18	1.036424702
19	1.030737
20	1.025010717
21	1.019340752
22	1.014029989
23	1.008501723
24	1.003083921
25	0.9978310998
26	0.9928212436
27	0.9877187199
28	0.982549591
29	0.9774620379
30	0.9726124015
31	0.9677361535
32	0.9627259126
33	0.9580622107
34	0.9534068126
35	0.9486721394
36	0.9441932921
37	0.9395329785
38	0.9351594101
39	0.9306309076
40	0.9262181019
41	0.9218993064
42	0.9176831732
43	0.9134414702
44	0.9093447827
45	0.9050227466
46	0.9009610432
47	0.896828637
48	0.8929267127
49	0.8887729001
50	0.8848341606
51	0.88093126
52	0.8771724682
53	0.8732655695
54	0.869490151
55	0.8658288535
56	0.8622299752
57	0.858807311
58	0.8552197889
59	0.8518179331
60	0.8482787023
61	0.844771289
62	0.8412954304
63	0.837893373
64	0.8347076142
65	0.8314637266
66	0.8282529568
67	0.8251585274
68	0.821979646
69	0.8190976005
70	0.8159106326
71	0.8129508931
72	0.8101163258
73	0.8071275141
74	0.804295682
75	0.8012988699
76	0.7985966063
77	0.7958542626
78	0.7932212481
79	0.7903351858
80	0.7875285851
81	0.7848395743
82	0.7820792649
83	0.7795575899
84	0.7768975966
85	0.7742746689
86	0.7718227995
87	0.7694934519
88	0.7671036376
89	0.764661811
90	0.7622550537
91	0.7599694783
92	0.7577279407
93	0.7554344192
94	0.7532254972
95	0.7509300187
96	0.7488527183
97	0.7467481384
98	0.7446954352
99	0.7424664423
100	0.7404881881
101	0.7385321701
102	0.7365658968
103	0.7345196456
104	0.7326150465
105	0.730703048
106	0.7285550636
107	0.7267126873
108	0.7249104465
109	0.7231766706
110	0.7214160371
111	0.7194857689
112	0.7176454269
113	0.7158888841
114	0.7142751316
115	0.7123790549
116	0.7108046943
117	0.7092175967
118	0.7074636682
119	0.7058914272
120	0.7044070112
121	0.7026826383
122	0.7010120562
123	0.699379802
124	0.6978236706
125	0.6963307669
126	0.6949098661
127	0.6933453581
128	0.6918138381
129	0.6903668066
130	0.6888115419
131	0.6874871952
132	0.6859855753
133	0.6846164954
134	0.6833182376
135	0.6819427151
136	0.680649026
137	0.6792520429
138	0.6779908397
139	0.6767250124
140	0.675375499
141	0.6740617542
142	0.6729558439
143	0.6716060212
144	0.6703649314
145	0.6690885579
146	0.6677627159
147	0.666515606
148	0.6654906765
149	0.6643030526
150	0.663157408
151	0.6619972252
152	0.6609637118
153	0.6598346332
154	0.6587656054
155	0.6578045365
156	0.6568211378
157	0.6557637579
158	0.6548142593
159	0.6537595401
160	0.6527479286
161	0.6516977412
162	0.6506494092
163	0.6497695701
164	0.6488644183
165	0.647876186
166	0.6470740334
167	0.6461053544
168	0.6452466379
169	0.6444632896
170	0.6435578776
171	0.642751643
172	0.6419916418
173	0.6412405836
174	0.6402286986
175	0.6392953803
176	0.6384450474
177	0.6375225258
178	0.6367017741
179	0.6358813753
180	0.6351115509
181	0.6342240667
182	0.6334857014
183	0.6328152692
184	0.6321631779
185	0.6314627341
186	0.6307857634
187	0.6301264378
188	0.6294168824
189	0.6288159963
190	0.6281231913
191	0.627519286
192	0.6269155443
193	0.6261125453
194	0.625559095
195	0.6249772389
196	0.6242631781
197	0.623652674
198	0.6229340762
199	0.6222607793
200	0.6217339785
201	0.6210366738
202	0.6204141292
203	0.6197177799
204	0.6191762015
205	0.6185483702
206	0.6180166829
207	0.6175388651
208	0.6169411688
209	0.6164511447
210	0.6158635212
211	0.6152663549
212	0.6146565911
213	0.6141818984
214	0.6136556098
215	0.6131268533
216	0.6126665257
217	0.6121957922
218	0.6116188003
219	0.6111563957
220	0.610644499
221	0.6101580138
222	0.6096288018
223	0.6092054405
224	0.6087841227
225	0.6082838245
226	0.6077887764
227	0.6073799558
228	0.6068909029
229	0.6063926734
230	0.6058763167
231	0.6053234837
232	0.6049360752
233	0.6044565471
234	0.6040868058
235	0.6036653691
236	0.6032942624
237	0.6029749987
238	0.6024596459
239	0.6021194789
240	0.601755928
241	0.6013978876
242	0.6010677722
243	0.6007421239
244	0.6003139293
245	0.5999371585
246	0.5995021258
247	0.5990230005
248	0.5985660115
249	0.5980854676
250	0.5977930969
251	0.5974818021
252	0.5971350875
253	0.5967917176
254	0.5964878681
255	0.5959889512
256	0.5955491325
257	0.5951551066
258	0.5948045669
259	0.5943775462
260	0.5940204191
261	0.5936259533
262	0.5932159106
263	0.592785158
264	0.5925026119
265	0.5922038976
266	0.5919032753
267	0.5914721302
268	0.5911301837
269	0.5908565165
270	0.5904553537
271	0.590174033
272	0.5897808515
273	0.5894852028
274	0.5891561056
275	0.5888185831
276	0.5885150201
277	0.5880929939
278	0.5878172923
279	0.5874184388
280	0.5870875424
281	0.5868166842
282	0.5865835901
283	0.5863180561
284	0.5860044299
285	0.5856082375
286	0.5853738992
287	0.5850703435
288	0.5848354629
289	0.5845986028
290	0.584379118
291	0.5841228937
292	0.5837911866
293	0.5835271006
294	0.5832321191
295	0.5828869715
296	0.5826861616
297	0.5824130587
298	0.5822154995
299	0.5820118551
300	0.5818023377
301	0.5815481297
302	0.581279022
303	0.5810274019
304	0.5807407862
305	0.5805385249
306	0.5802364521
307	0.5800066178
308	0.5797235149
309	0.5794698627
310	0.5792806192
311	0.5790382716
312	0.5787987759
313	0.5786235861
314	0.5783794332
315	0.5781170971
316	0.5778610908
317	0.5776505694
318	0.5774256007
319	0.5772344516
320	0.57703945
321	0.5768072995
322	0.5766435909
323	0.5764644202
324	0.5763177641
325	0.576125919
326	0.575911942
327	0.5756896771
328	0.5754318961
329	0.5752601645
330	0.5749711958
331	0.5748122796
332	0.5745485532
333	0.574365658
334	0.5741394801
335	0.5739765164
336	0.5737411537
337	0.5735833422
338	0.5733853409
339	0.5732213585
340	0.5730530189
341	0.5728782404
342	0.572715031
343	0.5724739688
344	0.572240799
345	0.572038965
346	0.5718341483
347	0.5716839117
348	0.5715500871
349	0.571323145
350	0.5711776387
351	0.5709740203
352	0.5707897337
353	0.5706142631
354	0.5704765611
355	0.570324977
356	0.5701852208
357	0.5700317046
358	0.5698609654
359	0.5696860288
360	0.5695453876
361	0.569340781
362	0.5691784585
363	0.5689733831
364	0.5688120644
365	0.568665451
366	0.5684931268
367	0.5683581414
368	0.5682215702
369	0.5680377966
370	0.5678734554
371	0.5677478627
372	0.5676036356
373	0.5673997816
374	0.5672721237
375	0.5671353307
376	0.5669922292
377	0.5668034926
378	0.5666013369
379	0.5664740077
380	0.566287893
381	0.5661686643
382	0.5659961346
383	0.5658272013
384	0.5656482627
385	0.565531626
386	0.5653403159
387	0.5651383987
388	0.5650057397
389	0.5648910579
390	0.5647812879
391	0.564636885
392	0.5645215333
393	0.5644025585
394	0.5642821831
395	0.5641408058
396	0.5640382338
397	0.5639498822
398	0.5637878849
399	0.5636245259
400	0.5635358654
401	0.5633837978
402	0.5632568607
403	0.5630894148
404	0.5629527746
