iter	Passed	Remaining
0	19	396001
1	43	438680
2	66	441615
3	89	446029
4	110	440876
5	134	446824
6	171	491096
7	194	487022
8	215	478183
9	237	474477
10	259	471224
11	282	470913
12	305	470064
13	327	467571
14	346	462161
15	365	457098
16	388	456091
17	410	455476
18	427	449487
19	449	449044
20	469	446664
21	492	447510
22	515	447956
23	536	446821
24	558	446044
25	579	444858
26	599	443624
27	622	444216
28	644	443958
29	667	444512
30	689	444225
31	713	445122
32	739	447224
33	765	449318
34	790	450911
35	814	451420
36	837	452056
37	861	452406
38	884	452644
39	906	452113
40	927	451701
41	951	451955
42	973	451850
43	996	451895
44	1018	451767
45	1044	453143
46	1071	455010
47	1099	456993
48	1122	457088
49	1147	457684
50	1174	459229
51	1202	461292
52	1227	462118
53	1257	464407
54	1283	465364
55	1307	465578
56	1332	466350
57	1357	466780
58	1381	467016
59	1404	466779
60	1430	467694
61	1456	468317
62	1480	468577
63	1505	469026
64	1528	468706
65	1550	468423
66	1574	468278
67	1597	468196
68	1619	467853
69	1647	469110
70	1670	468777
71	1696	469425
72	1720	469522
73	1744	469812
74	1769	470175
75	1792	469987
76	1816	469944
77	1837	469205
78	1857	468382
79	1881	468370
80	1901	467713
81	1923	467134
82	1945	466814
83	1970	467127
84	1995	467546
85	2027	469431
86	2055	470399
87	2084	471579
88	2109	472040
89	2132	471841
90	2156	471730
91	2179	471570
92	2199	470706
93	2222	470691
94	2249	471311
95	2280	472880
96	2304	472799
97	2326	472435
98	2363	475022
99	2383	474393
100	2403	473507
101	2427	473559
102	2449	473245
103	2475	473519
104	2500	473774
105	2524	473825
106	2555	475147
107	2583	475812
108	2607	475852
109	2642	477812
110	2667	477890
111	2693	478232
112	2717	478252
113	2741	478153
114	2764	478013
115	2790	478268
116	2814	478215
117	2836	477868
118	2859	477655
119	2888	478471
120	2912	478493
121	2931	477686
122	2954	477409
123	2978	477485
124	3003	477586
125	3025	477223
126	3048	477052
127	3071	476896
128	3094	476710
129	3121	477178
130	3145	477107
131	3170	477226
132	3194	477180
133	3219	477355
134	3243	477290
135	3268	477398
136	3291	477277
137	3316	477329
138	3342	477553
139	3366	477619
140	3389	477452
141	3413	477417
142	3437	477347
143	3461	477301
144	3484	477182
145	3514	477866
146	3542	478436
147	3571	479064
148	3597	479304
149	3623	479519
150	3651	479945
151	3679	480506
152	3707	480922
153	3731	480857
154	3754	480745
155	3781	481017
156	3803	480751
157	3831	481177
158	3854	481022
159	3879	481013
160	3906	481347
161	3933	481658
162	3957	481575
163	3981	481570
164	4004	481349
165	4028	481308
166	4053	481394
167	4074	480928
168	4098	480889
169	4121	480758
170	4147	480955
171	4170	480754
172	4193	480578
173	4220	480924
174	4248	481285
175	4274	481516
176	4303	481924
177	4332	482490
178	4356	482363
179	4382	482559
180	4408	482702
181	4433	482755
182	4459	482958
183	4485	483032
184	4508	482934
185	4532	482886
186	4557	482915
187	4583	483062
188	4611	483381
189	4637	483500
190	4664	483787
191	4692	484131
192	4718	484199
193	4744	484400
194	4768	484267
195	4792	484265
196	4813	483904
197	4840	484135
198	4865	484154
199	4889	484087
200	4911	483839
201	4938	483979
202	4970	484777
203	4994	484657
204	5016	484356
205	5041	484404
206	5064	484293
207	5090	484427
208	5117	484558
209	5140	484401
210	5164	484347
211	5190	484447
212	5212	484196
213	5237	484279
214	5261	484205
215	5287	484284
216	5315	484578
217	5351	485628
218	5383	486221
219	5414	486781
220	5440	486870
221	5465	486916
222	5489	486874
223	5517	487158
224	5544	487300
225	5574	487770
226	5605	488309
227	5630	488258
228	5654	488192
229	5681	488404
230	5711	488800
231	5739	489037
232	5767	489316
233	5795	489571
234	5823	489785
235	5847	489714
236	5880	490395
237	5909	490681
238	5938	491011
239	5966	491277
240	5993	491429
241	6017	491273
242	6043	491388
243	6070	491520
244	6095	491465
245	6119	491398
246	6143	491283
247	6168	491290
248	6192	491223
249	6217	491204
250	6242	491138
251	6265	491028
252	6290	490996
253	6314	490923
254	6341	491020
255	6369	491222
256	6394	491258
257	6419	491245
258	6453	491912
259	6478	491887
260	6511	492419
261	6538	492566
262	6564	492615
263	6592	492860
264	6621	493094
265	6650	493385
266	6678	493584
267	6705	493702
268	6733	493873
269	6758	493897
270	6785	494008
271	6811	494034
272	6839	494241
273	6863	494113
274	6884	493820
275	6909	493793
276	6936	493870
277	6958	493648
278	6982	493575
279	7006	493491
280	7031	493410
281	7055	493343
282	7078	493196
283	7102	493094
284	7125	492901
285	7149	492804
286	7172	492686
287	7197	492598
288	7221	492515
289	7245	492432
290	7271	492461
291	7292	492205
292	7315	492004
293	7338	491883
294	7362	491775
295	7386	491696
296	7411	491654
297	7434	491552
298	7462	491685
299	7484	491506
300	7507	491358
301	7528	491038
302	7555	491148
303	7579	491089
304	7606	491208
305	7631	491161
306	7658	491260
307	7684	491320
308	7711	491394
309	7736	491399
310	7763	491497
311	7790	491629
312	7814	491524
313	7837	491369
314	7858	491114
315	7885	491188
316	7905	490876
317	7924	490498
318	7946	490284
319	7970	490197
320	7993	490046
321	8016	489914
322	8040	489797
323	8067	489953
324	8090	489772
325	8116	489820
326	8138	489633
327	8164	489687
328	8189	489625
329	8210	489402
330	8238	489540
331	8265	489641
332	8291	489688
333	8314	489566
334	8344	489863
335	8367	489672
336	8392	489657
337	8415	489559
338	8437	489375
339	8458	489075
340	8481	488940
341	8504	488811
342	8531	488921
343	8560	489164
344	8596	489746
345	8632	490337
346	8659	490460
347	8683	490346
348	8711	490495
349	8743	490862
350	8769	490893
351	8799	491182
352	8830	491488
353	8853	491321
354	8879	491392
355	8908	491554
356	8931	491458
357	8958	491491
358	8986	491651
359	9007	491408
360	9033	491417
361	9058	491434
362	9085	491476
363	9107	491322
364	9129	491136
365	9151	490953
366	9174	490795
367	9201	490860
368	9227	490898
369	9256	491081
370	9282	491106
371	9310	491228
372	9334	491172
373	9360	491184
374	9385	491166
375	9406	490946
376	9432	490951
377	9456	490901
378	9493	491475
379	9515	491294
380	9539	491204
